county,app_unique,SCHOOLID,SCHOOL_TYPE_CODE,BLANK,SCHOOL_NAME,district_name,city,LOCAL_PROP_TAXES_DISTRICT_DOLLAR,LOCAL_PROP_TAXES_DISTRICT_PCT,LOCAL_PROP_TAXES_STATE_PCT,OTHER_LOCAL_FUNDING_DISTRICT_DOLLAR,OTHER_LOCAL_FUNDING_DISTRICT_PCT,OTHER_LOCAL_FUNDING_STATE_PCT,total_local_dollars,TOTAL_REVENUE_SOURCE,dollars_per_enrollment,percent_local_dollars,percent_state_dollars,percent_federal_dollars,DISTRICT_TOTAL_ENROLLMENT,median_household_income,GENERAL_STATE_AID_DISTRICT_DOLLAR,GENERAL_STATE_AID_DISTRICT_PCT,GENERAL_STATE_AID_STATE_PCT,OTHER_STATE_FUNDING_DISTRICT_DOLLAR,OTHER_STATE_FUNDING_DISTRICT_PCT,OTHER_STATE_FUNDING_STATE_PCT,FEDERAL_FUNDING_DISTRICT_DOLLAR,FEDERAL_FUNDING_DISTRICT_PCT,FEDERAL_FUNDING_STATE_PCT,EAV_PER_PUPIL_DISTRICT,TOT_SCHL_TAX_RATE_PER_100_DISTRICT,OPER_EXPEND_PP_DISTRICT
Cook,1,150162990250001,0.00,,Amundsen High School,Chicago Public Schools,Chicago,2506803116.00,47.40,62.80,226204571.00,4.30,4.60,2733007797.00,5293733934.00,13502.67,0.52,0.34,0.15,392051.00,54828.00,1014395497.00,19.20,16.30,770529352.00,14.60,8.60,775801398.00,14.70,7.70,176452.00,3.67,15378.00
Kane,2,310450460220001,0.00,,Elgin High School,SD U-46,Elgin,297049674.00,61.50,62.80,13132206.00,2.70,4.60,310182004.00,482853723.00,12082.52,0.64,0.29,0.07,39963.00,70514.00,97728628.00,20.20,16.30,40333528.00,8.40,8.60,34609687.00,7.20,7.70,117324.00,7.58,11404.00
Winnebago,3,41012050250001,0.00,,Auburn High School,Rockford SD 205,Rockford,178117201.00,48.60,62.80,9257365.00,2.50,4.60,187374677.00,366682691.00,12884.60,0.51,0.37,0.12,28459.00,47523.00,95623462.00,26.10,16.30,41255226.00,11.30,8.60,42429437.00,11.60,7.70,83217.00,7.23,12141.00
Dupage,4,190222040260001,0.00,,Waubonsie Valley High School,Indian Prairie CUSD 204,Aurora,269772863.00,79.90,62.80,13418926.00,4.00,4.60,283191932.00,337430526.00,11930.51,0.84,0.13,0.03,28283.00,79016.00,25242272.00,7.50,16.30,19678468.00,5.80,8.60,9317997.00,2.80,7.70,169795.00,5.96,11053.00
Will,5,560992020220001,0.00,,Plainfield High School,Plainfield SD 202,Plainfield,177161757.00,62.00,62.80,11667442.00,4.10,4.60,188829324.00,285534682.00,10242.66,0.66,0.30,0.04,27877.00,76142.00,65445210.00,22.90,16.30,20810807.00,7.30,8.60,10449466.00,3.70,7.70,110286.00,6.23,9657.00
Kane,6,310453000260002,0.00,,Dundee-Crown High School,CUSD 300,Carpentersville,176743781.00,70.10,62.80,14115214.00,5.60,4.60,190859128.00,252043735.00,12044.53,0.76,0.17,0.07,20926.00,70514.00,25587022.00,10.20,16.30,17908845.00,7.10,8.60,17688873.00,7.00,7.70,146529.00,6.32,10726.00
Kendall,7,240473080260001,0.00,,Oswego High School,CUSD 308,Oswego,128656186.00,64.10,62.80,9312030.00,4.60,4.60,137968343.00,200694511.00,11094.84,0.69,0.28,0.03,18089.00,83844.00,43784230.00,21.80,16.30,13387277.00,6.70,8.60,5554788.00,2.80,7.70,93331.00,7.86,9284.00
Will,8,56099365U260007,0.00,,Bolingbrook High School,Valley View CUSD 365U,Bolingbrook,167531506.00,68.60,62.80,13029410.00,5.30,4.60,180561047.00,244212263.00,14348.55,0.74,0.20,0.06,17020.00,76142.00,29843964.00,12.20,16.30,18598501.00,7.60,8.60,15208882.00,6.20,7.70,133706.00,7.37,12669.00
Lake,9,340490600260022,0.00,,Waukegan High School,Waukegan CUSD 60,Waukegan,63837301.00,33.10,62.80,1506871.00,0.80,4.60,65344268.00,192802303.00,11463.36,0.34,0.56,0.10,16819.00,77873.00,86889263.00,45.10,16.30,20533080.00,10.60,8.60,20035788.00,10.40,7.70,42886.00,9.29,12806.00
Dupage,10,190222030260001,0.00,,Naperville Central High School,Naperville CUSD 203,Naperville,227524864.00,85.30,62.80,10801022.00,4.00,4.60,238326034.00,266887541.00,15897.52,0.89,0.07,0.03,16788.00,79016.00,6078550.00,2.30,16.30,13744085.00,5.10,8.60,8739020.00,3.30,7.70,264248.00,5.39,14545.00
Sangamon,11,510841860250001,0.00,,Lanphier High School,Springfield SD 186,Springfield,104983529.00,55.60,62.80,7006393.00,3.70,4.60,111990040.00,188756241.00,12674.16,0.59,0.28,0.13,14893.00,55565.00,35408627.00,18.80,16.30,17678422.00,9.40,8.60,23679270.00,12.50,7.70,146730.00,5.02,12287.00
Kane,12,310451310220001,0.00,,East High School,Aurora East USD 131,Aurora,43050814.00,25.80,62.80,2434939.00,1.50,4.60,45485842.00,166613284.00,11365.94,0.27,0.60,0.13,14659.00,70514.00,83542140.00,50.10,16.30,16115491.00,9.70,8.60,21469900.00,12.90,7.70,44362.00,6.90,11335.00
Cook,13,50160540041001,1.00,,Jane Addams JHS,Schaumburg CCSD 54,Schaumburg,164664841.00,83.80,62.80,2713512.00,1.40,4.60,167378500.00,196609531.00,13510.83,0.85,0.11,0.04,14552.00,54828.00,8273790.00,4.20,16.30,12451295.00,6.30,8.60,8506093.00,4.30,7.70,319883.00,4.15,13417.00
McLean,14,170640050260001,0.00,,Normal Community High School,McLean County USD 5,Normal,106658116.00,73.40,62.80,6522213.00,4.50,4.60,113180465.00,145340467.00,10569.45,0.78,0.17,0.05,13751.00,61955.00,15127835.00,10.40,16.30,9240460.00,6.40,8.60,7791843.00,5.40,7.70,162851.00,5.01,10048.00
Peoria,15,480721500250023,0.00,,Manual Academy,Peoria SD 150,Peoria,79357020.00,47.30,62.80,6607262.00,3.90,4.60,85964392.00,167878417.00,12625.29,0.51,0.34,0.15,13297.00,51454.00,43762362.00,26.10,16.30,13098635.00,7.80,8.60,25053138.00,14.90,7.70,109933.00,5.06,13458.00
Kane,16,310453030260011,0.00,,St Charles East High School,St Charles CUSD 303,St Charles,161736503.00,85.10,62.80,7815549.00,4.10,4.60,169552200.00,190027236.00,14713.68,0.89,0.08,0.03,12915.00,70514.00,5038197.00,2.70,16.30,10195051.00,5.40,8.60,5241936.00,2.80,7.70,229985.00,5.88,13258.00
Dupage,17,190222000260020,0.00,,Wheaton Warrenville South H S,CUSD 200,Wheaton,143243804.00,81.60,62.80,7046914.00,4.00,4.60,150290862.00,175628752.00,13640.01,0.86,0.10,0.04,12876.00,79016.00,6345676.00,3.60,16.30,11346962.00,6.50,8.60,7645396.00,4.40,7.70,224910.00,5.20,12636.00
Cook,18,50160150041011,1.00,,Plum Grove Jr High School,Palatine CCSD 15,Rolling Meadows,120669943.00,78.50,62.80,3371572.00,2.20,4.60,124041656.00,153690595.00,12144.65,0.81,0.13,0.07,12655.00,54828.00,8746553.00,5.70,16.30,10613778.00,6.90,8.60,10288749.00,6.70,7.70,276916.00,3.85,12536.00
Kane,19,310451290220001,0.00,,West Aurora High School,Aurora West USD 129,Aurora,87655998.00,58.20,62.80,3329187.00,2.20,4.60,90985306.00,150674663.00,12002.12,0.60,0.31,0.08,12554.00,70514.00,34348603.00,22.80,16.30,12816438.00,8.50,8.60,12524437.00,8.30,7.70,111073.00,6.67,11663.00
Cook,20,60160990021002,1.00,,Unity Jr High School,Cicero SD 99,Cicero,31059808.00,21.60,62.80,1451799.00,1.00,4.60,32511691.00,143675814.00,11521.72,0.23,0.64,0.13,12470.00,54828.00,81024567.00,56.40,16.30,11149621.00,7.80,8.60,18990019.00,13.20,7.70,51781.00,4.67,10084.00
Cook,21,50162110170001,0.00,,J B Conant High School,Township HSD 211,Hoffman Estates,211501146.00,86.60,62.80,10060602.00,4.10,4.60,221561897.00,244296006.00,20325.82,0.91,0.07,0.03,12019.00,54828.00,5883843.00,2.40,16.30,10246519.00,4.20,8.60,6603896.00,2.70,7.70,561127.00,3.20,17615.00
Cook,22,50162140170002,0.00,,Elk Grove High School,Township HSD 214,Elk Grove Village,209915041.00,84.10,62.80,16209420.00,6.50,4.60,226124608.00,249689944.00,21019.44,0.91,0.07,0.03,11879.00,54828.00,5632863.00,2.30,16.30,11396771.00,4.60,8.60,6535849.00,2.60,7.70,666045.00,2.77,19850.00
Will,23,560990860051001,1.00,,Dirksen Junior High School,Joliet PSD 86,Joliet,39852017.00,30.50,62.80,2212782.00,1.70,4.60,42064892.00,130794573.00,11183.80,0.32,0.57,0.11,11695.00,76142.00,59381917.00,45.40,16.30,14802798.00,11.30,8.60,14545059.00,11.10,7.70,81123.00,4.29,10743.00
Champaign,24,90100040260001,0.00,,Centennial High School,Champaign CUSD 4,Champaign,85716555.00,67.20,62.80,10574130.00,8.30,4.60,96290815.00,127551215.00,12817.93,0.75,0.15,0.10,9951.00,46680.00,8882685.00,7.00,16.30,9892771.00,7.80,8.60,12485074.00,9.80,7.70,219511.00,4.30,13200.00
McHenry,25,440631580220002,0.00,,Huntley High School,Huntley Comm Sch Dist 158,Huntley,64821276.00,64.90,62.80,6408805.00,6.40,4.60,71230209.00,99917765.00,10547.64,0.71,0.25,0.03,9473.00,76345.00,17582697.00,17.60,16.30,7714616.00,7.70,8.60,3390371.00,3.40,7.70,122369.00,5.90,9427.00
Macon,26,390550610250036,0.00,,Eisenhower High School,Decatur SD 61,Decatur,34640602.00,34.80,62.80,8392797.00,8.40,4.60,43033497.00,99554890.00,10932.89,0.43,0.44,0.13,9106.00,46696.00,37662528.00,37.80,16.30,6265686.00,6.30,8.60,12593277.00,12.60,7.70,95654.00,4.33,11038.00
Lake,27,340492200260004,0.00,,Barrington High School,Barrington CUSD 220,Barrington,124399642.00,84.30,62.80,7177882.00,4.90,4.60,131577671.00,147611414.00,16679.26,0.89,0.08,0.03,8850.00,77873.00,2729756.00,1.80,16.30,9016854.00,6.10,8.60,4287280.00,2.90,7.70,330878.00,4.90,15939.00
Dupage,28,190222050260003,0.00,,York Comm High School,Elmhurst SD 205,Elmhurst,106996695.00,86.80,62.80,4212949.00,3.40,4.60,111209794.00,123244513.00,14609.35,0.90,0.07,0.03,8436.00,79016.00,2959468.00,2.40,16.30,5657400.00,4.60,8.60,3418001.00,2.80,7.70,254271.00,5.28,13744.00
Cook,29,60162010170001,0.00,,J Sterling Morton East High Sch,J.S. Morton HSD 201,Cicero,50057202.00,47.00,62.80,2067521.00,1.90,4.60,52124833.00,106614471.00,12860.61,0.49,0.41,0.10,8290.00,54828.00,37147286.00,34.80,16.30,7008930.00,6.60,8.60,10333532.00,9.70,7.70,216563.00,2.95,11285.00
Boone,30,40041000260001,0.00,,Belvidere High School,Belvidere CUSD 100,Belvidere,47845461.00,51.90,62.80,7095239.00,7.70,4.60,54940815.00,92110380.00,11127.13,0.60,0.34,0.06,8278.00,60166.00,24826903.00,27.00,16.30,6375053.00,6.90,8.60,5967724.00,6.50,7.70,97048.00,6.36,10669.00
Dupage,31,190220870170001,0.00,,Glenbard East High School,Glenbard Twp. HSD 87,Lombard,120630248.00,86.00,62.80,6689309.00,4.80,4.60,127319706.00,140255424.00,17160.83,0.91,0.07,0.02,8173.00,79016.00,4413297.00,3.10,16.30,5555717.00,4.00,8.60,2966853.00,2.10,7.70,630364.00,2.49,16150.00
